                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 0.4002,                0.51613,                0.89619,                0.99904,                      1,                  0.995,                 0.9407,                0.35577,                0.23904,                0.74117,             0.00038269,             0.00038269,             0.00038269
                    102,                0.42115,                0.46443,                0.88019,                0.99891,                      1,                  0.995,                0.93787,                0.35798,                0.23592,                0.73996,             0.00038175,             0.00038175,             0.00038175
                    103,                0.39869,                0.46314,                0.87589,                0.99855,                      1,                  0.995,                0.94382,                0.35459,                 0.2527,                0.74035,             0.00038081,             0.00038081,             0.00038081
                    104,                0.43008,                0.49371,                0.90011,                0.99781,                      1,                  0.995,                0.93767,                0.34344,                0.26852,                0.74181,             0.00037987,             0.00037987,             0.00037987
                    105,                  0.403,                0.49434,                0.88063,                0.99847,                      1,                  0.995,                0.94464,                0.33511,                0.25181,                 0.7408,             0.00037892,             0.00037892,             0.00037892
                    106,                0.41688,                0.53458,                0.89141,                0.99861,                      1,                  0.995,                0.93647,                0.33062,                0.23642,                0.73828,             0.00037798,             0.00037798,             0.00037798
                    107,                0.40939,                0.49683,                0.88258,                0.99787,                      1,                  0.995,                0.94126,                0.34419,                 0.2367,                 0.7435,             0.00037704,             0.00037704,             0.00037704
                    108,                0.41116,                0.50497,                0.89445,                 0.9984,                      1,                  0.995,                0.94905,                0.33912,                0.23526,                0.74234,              0.0003761,              0.0003761,              0.0003761
                    109,                0.40157,                0.50088,                0.88483,                0.99614,                0.99975,                  0.995,                0.93963,                0.34452,                0.25646,                0.74105,             0.00037515,             0.00037515,             0.00037515
                    110,                0.45952,                0.51268,                0.90038,                0.99792,                      1,                  0.995,                0.94359,                0.33785,                0.23185,                0.73646,             0.00037421,             0.00037421,             0.00037421
                    111,                0.43734,                 0.5055,                0.91044,                 0.9971,                0.99993,                  0.995,                0.94172,                0.33796,                0.23376,                0.73973,             0.00037327,             0.00037327,             0.00037327
                    112,                0.42397,                0.48499,                0.89334,                0.99728,                      1,                  0.995,                0.94687,                0.34194,                0.23283,                0.74295,             0.00037233,             0.00037233,             0.00037233
                    113,                0.39954,                 0.4809,                0.87549,                0.99867,                      1,                  0.995,                0.93641,                0.34772,                0.23338,                0.74537,             0.00037138,             0.00037138,             0.00037138
                    114,                0.42419,                0.48334,                  0.884,                0.99863,                      1,                  0.995,                0.93467,                0.34417,                0.22916,                 0.7477,             0.00037044,             0.00037044,             0.00037044
                    115,                0.41807,                0.46889,                0.89371,                0.99881,                      1,                  0.995,                0.93598,                0.34675,                0.23275,                0.74891,              0.0003695,              0.0003695,              0.0003695
                    116,                0.39929,                0.47655,                0.88046,                 0.9989,                      1,                  0.995,                0.93383,                0.35984,                0.23451,                0.74809,             0.00036856,             0.00036856,             0.00036856
                    117,                0.41008,                0.45658,                0.90105,                0.99855,                      1,                  0.995,                0.94437,                0.33841,                0.22131,                0.73808,             0.00036761,             0.00036761,             0.00036761
                    118,                0.41921,                0.44631,                0.90384,                0.99844,                      1,                  0.995,                0.94115,                0.32095,                0.21436,                0.73242,             0.00036667,             0.00036667,             0.00036667
                    119,                0.43968,                 0.4887,                0.90848,                0.99869,                      1,                  0.995,                0.94459,                0.31503,                0.22911,                0.73157,             0.00036573,             0.00036573,             0.00036573
                    120,                 0.4173,                0.44577,                 0.8923,                0.99855,                      1,                  0.995,                0.94306,                0.32349,                0.23384,                0.73535,             0.00036479,             0.00036479,             0.00036479
                    121,                0.39728,                0.44249,                0.88618,                0.99819,                      1,                  0.995,                0.94347,                0.33122,                0.22632,                0.73737,             0.00036384,             0.00036384,             0.00036384
                    122,                0.39673,                0.46578,                 0.8786,                0.99813,                      1,                  0.995,                0.94393,                0.32455,                0.22727,                 0.7342,              0.0003629,              0.0003629,              0.0003629
                    123,                 0.3976,                0.47322,                0.89463,                0.99751,                      1,                  0.995,                  0.943,                0.32493,                0.23937,                0.73548,             0.00036196,             0.00036196,             0.00036196
                    124,                0.41229,                0.46312,                0.89797,                0.99636,                      1,                  0.995,                0.94171,                0.34471,                0.26137,                0.74062,             0.00036102,             0.00036102,             0.00036102
                    125,                0.41635,                0.47735,                0.89254,                0.99712,                      1,                  0.995,                0.94223,                0.35082,                 0.2401,                 0.7418,             0.00036007,             0.00036007,             0.00036007
                    126,                0.39115,                0.42661,                0.88223,                0.99816,                      1,                  0.995,                 0.9394,                 0.3484,                0.22754,                0.74204,             0.00035913,             0.00035913,             0.00035913
                    127,                0.38544,                0.42699,                0.87085,                0.99859,                      1,                  0.995,                0.93721,                0.33043,                0.21958,                0.73715,             0.00035819,             0.00035819,             0.00035819
                    128,                 0.4237,                0.43881,                0.89852,                0.99889,                      1,                  0.995,                0.95283,                0.32921,                0.20823,                  0.736,             0.00035725,             0.00035725,             0.00035725
                    129,                0.38307,                0.44379,                0.87201,                0.99824,                      1,                  0.995,                0.94366,                0.34799,                0.21211,                0.74437,             0.00035631,             0.00035631,             0.00035631
                    130,                0.39268,                0.42988,                0.87826,                 0.9981,                      1,                  0.995,                 0.9511,                0.33707,                0.22757,                0.74501,             0.00035536,             0.00035536,             0.00035536
                    131,                0.41164,                0.43135,                0.89038,                0.99858,                      1,                  0.995,                0.94474,                0.32598,                0.22921,                0.74197,             0.00035442,             0.00035442,             0.00035442
                    132,                0.44333,                0.45575,                0.90118,                0.99807,                      1,                  0.995,                0.94568,                0.32632,                0.22518,                0.73912,             0.00035348,             0.00035348,             0.00035348
                    133,                0.39373,                0.46016,                 0.8912,                 0.9984,                      1,                  0.995,                0.94048,                0.32676,                0.20824,                 0.7395,             0.00035254,             0.00035254,             0.00035254
                    134,                0.42941,                0.44063,                0.90837,                 0.9987,                      1,                  0.995,                 0.9374,                0.33829,                 0.2053,                0.74591,             0.00035159,             0.00035159,             0.00035159
                    135,                0.44496,                0.47759,                0.89025,                0.99853,                      1,                  0.995,                0.93946,                0.34967,                0.21277,                0.74948,             0.00035065,             0.00035065,             0.00035065
                    136,                0.40625,                0.43028,                0.87816,                0.99807,                      1,                  0.995,                0.94505,                0.31844,                0.21731,                0.73249,             0.00034971,             0.00034971,             0.00034971
                    137,                0.39736,                0.46148,                0.89301,                0.99857,                      1,                  0.995,                0.93889,                0.33392,                0.21865,                0.73646,             0.00034877,             0.00034877,             0.00034877
                    138,                0.39947,                0.41462,                0.87268,                0.99885,                      1,                  0.995,                0.95082,                 0.3219,                0.20185,                 0.7355,             0.00034782,             0.00034782,             0.00034782
                    139,                 0.3863,                0.42058,                 0.8853,                0.99878,                      1,                  0.995,                0.93602,                 0.3372,                0.20283,                0.74048,             0.00034688,             0.00034688,             0.00034688
                    140,                0.39321,                0.40578,                0.86856,                0.99904,                      1,                  0.995,                 0.9464,                0.32838,                 0.1964,                0.73445,             0.00034594,             0.00034594,             0.00034594
                    141,                0.40686,                0.44312,                0.90138,                0.99897,                      1,                  0.995,                0.94541,                0.33737,                0.20265,                0.73888,               0.000345,               0.000345,               0.000345
                    142,                0.37343,                0.39654,                 0.8777,                0.99901,                      1,                  0.995,                0.94767,                0.31756,                0.19722,                0.73411,             0.00034405,             0.00034405,             0.00034405
                    143,                0.38929,                0.38531,                0.89227,                0.99882,                      1,                  0.995,                0.95164,                0.32375,                0.20076,                0.73439,             0.00034311,             0.00034311,             0.00034311
                    144,                0.41027,                0.40968,                0.87991,                0.99815,                      1,                  0.995,                0.93987,                0.34057,                0.23066,                0.73773,             0.00034217,             0.00034217,             0.00034217
                    145,                0.38416,                0.40699,                0.86965,                0.99815,                      1,                  0.995,                0.94122,                0.32541,                0.23672,                0.73553,             0.00034123,             0.00034123,             0.00034123
                    146,                0.39695,                0.41364,                0.87418,                0.99865,                      1,                  0.995,                0.93664,                0.33848,                0.21099,                0.74099,             0.00034028,             0.00034028,             0.00034028
                    147,                0.41506,                 0.4071,                0.88951,                0.99911,                      1,                  0.995,                0.95673,                0.31257,                0.19445,                  0.733,             0.00033934,             0.00033934,             0.00033934
                    148,                0.39322,                 0.4027,                0.87601,                0.99908,                      1,                  0.995,                0.95643,                0.32171,                0.20302,                0.73351,              0.0003384,              0.0003384,              0.0003384
                    149,                0.41048,                0.41406,                0.89298,                0.99907,                      1,                  0.995,                0.94955,                0.32918,                0.21132,                0.73893,             0.00033746,             0.00033746,             0.00033746
                    150,                0.39235,                0.41841,                0.87298,                0.99879,                      1,                  0.995,                0.94779,                0.32884,                0.21469,                0.73778,             0.00033651,             0.00033651,             0.00033651
                    151,                0.37827,                0.40591,                0.88977,                0.99905,                      1,                  0.995,                0.94891,                0.31692,                0.21509,                0.73208,             0.00033557,             0.00033557,             0.00033557
                    152,                0.40099,                0.40499,                 0.8657,                0.99908,                      1,                  0.995,                0.95123,                0.31132,                0.20194,                0.72953,             0.00033463,             0.00033463,             0.00033463
                    153,                0.40977,                0.39842,                0.87405,                0.99901,                      1,                  0.995,                0.95907,                0.30318,                0.18892,                  0.728,             0.00033369,             0.00033369,             0.00033369
                    154,                0.37219,                0.36765,                0.88546,                0.99892,                      1,                  0.995,                0.96505,                0.30052,                0.18752,                0.72918,             0.00033274,             0.00033274,             0.00033274
                    155,                0.37048,                0.36184,                0.87479,                0.99895,                      1,                  0.995,                   0.95,                0.32294,                0.19405,                0.73784,              0.0003318,              0.0003318,              0.0003318
                    156,                0.39492,                0.40394,                0.87662,                 0.9985,                      1,                  0.995,                0.94404,                0.34094,                0.19703,                0.75164,             0.00033086,             0.00033086,             0.00033086
                    157,                0.38782,                0.38673,                 0.8749,                0.99857,                      1,                  0.995,                0.94381,                0.32918,                0.20376,                0.74085,             0.00032992,             0.00032992,             0.00032992
                    158,                0.40993,                0.37474,                 0.8759,                0.99907,                      1,                  0.995,                0.94265,                0.31148,                0.22209,                0.72997,             0.00032897,             0.00032897,             0.00032897
